번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모
842,관광펜션업,03_11_02_P,5330000,CDFI3261092016000003,2016-08-17,,01,영업/정상,13,영업중,,,,,,,,경상남도 통영시 산양읍 미남리 457-3번지,경상남도 통영시 산양읍 척포길 115-25,53087,가온누리,2017-12-12 18:03,I,2018-08-31 23:59,,329941.2972,142054.3594,관광펜션업,,,3,,,,,3,0,,,,,,,,,,,,358,,,,,,,,,630000000,,,,358
843,관광펜션업,03_11_02_P,5330000,CDFI3261092016000004,2016-10-26,,01,영업/정상,13,영업중,,,,,,,,경상남도 통영시 인평동 1266번지,경상남도 통영시 갈목길 31 (인평동),53063,쉐이리코타키나,2016-10-26 14:24,I,2018-08-31 23:59,,325375.6451,151000.2251,관광펜션업,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,500000000,,,,
844,관광펜션업,03_11_02_P,5330000,CDFI3261092018000002,2018-06-05,,01,영업/정상,13,영업중,,,,,,,,경상남도 통영시 도산면 수월리 178번지,경상남도 통영시 도산면 도산일주로 1393,53003,SWICTH,2018-06-05 16:22,I,2018-08-31 23:59,,322585.6397,154538.6547,관광펜션업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,관광펜션업,03_11_02_P,5330000,CDFI3261092018000003,2018-06-11,,01,영업/정상,13,영업중,,,,,,,,경상남도 통영시 평림동 635번지,경상남도 통영시 우포2길 144 (평림동),53063,성주산성,2018-06-11 13:02,I,2018-08-31 23:59,,327074.2998,151278.4715,관광펜션업,,,,,,,다가구용 주택(공동주택적용),1,,,,,,,,,,,,,,,,,,,,,,,,,,
846,관광펜션업,03_11_02_P,5070000,CDFI3261092020000001,2020-08-03,,01,영업/정상,13,영업중,,,,,,,,경상북도 안동시 와룡면 중가구리 435-2,경상북도 안동시 와룡면 동악골길 83,36611,톰소여의 모험,2022-01-17 14:23,U,2022-01-19 2:40,,358853.5324,345099.4315,관광펜션업,,,3,,,,,0,0,0,0,,,0,0,,0,0,,0,291,,0,,,,,,,360000000,,,,291
847,관광펜션업,03_11_02_P,4890000,CDFI3261092020000002,2020-07-03,,01,영업/정상,13,영업중,,,,,061-857-3450,,,전라남도 보성군 벌교읍 장양리 565-5,전라남도 보성군 벌교읍 장호길 57-5,59419,벌교펜션민박,2020-07-03 13:06,I,2020-07-05 0:23,,233676.4025,149681.5334,관광펜션업,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,159
848,관광펜션업,03_11_02_P,4170000,CDFI3261092020000002,2020-07-29,,01,영업/정상,13,영업중,,,,,,,,경기도 양평군 옥천면 신복리 703-76,경기도 양평군 옥천면 사기점길 72,12505,보물집,2020-08-14 9:45,U,2020-08-16 2:40,,241376.0485,448700.8251,관광펜션업,,,,,,,숙박시설,,,,,,,,,,,,,,659,,,,,,,,,,,,,659
849,관광펜션업,03_11_02_P,5050000,CDFI3261092020000001,2020-08-14,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 하동 836-16,경상북도 경주시 하동1길 43-15 (하동),38126,페리토,2020-08-14 17:40,I,2020-08-16 0:23,,408758.9699,257255.8294,관광펜션업,,생산녹지지역,2,기타,,,농어가주택,2,,,,,,,,,,,,,446.48,,,,,,,,,50000000,,,,446
850,관광펜션업,03_11_02_P,5530000,CDFI3261092020000008,2020-08-07,,01,영업/정상,13,영업중,,,,,,,,경기도 화성시 서신면 제부리 190-102,경기도 화성시 서신면 해안길 246-4,18553,아띠펜션,2020-08-07 11:19,I,2020-08-09 0:23,,166133.7051,406894.87,관광펜션업,,,2,,,,,,,,,,,,,,,,,,410.29,,,,,,,,,,,,,410
851,관광펜션업,03_11_02_P,4510000,CDFI3261092020000003,2020-08-07,,01,영업/정상,13,영업중,,,,,,,,충청남도 보령시 신흑동 2306-10,충청남도 보령시 고잠2길 4-23 (신흑동),33488,더 플라야(the PLAYA),2020-08-25 13:28,U,2020-08-27 2:40,,156595.5377,312390.9354,관광펜션업,,관리지역,3,,,,숙박시설,3,,,,,,,,,,,,,349.23,,,,,,,,,,,,,349
852,관광펜션업,03_11_02_P,5020000,CDFI3261092020000007,2020-07-20,,01,영업/정상,13,영업중,,,,,,,,경상북도 포항시 남구 호미곶면 대보리 1-12,경상북도 포항시 남구 호미곶면 해맞이로46번길 66,37928,비다펠리즈,2022-12-23 9:54,U,2022-12-25 2:40,,431728.057,287942.2641,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
853,관광펜션업,03_11_02_P,5330000,CDFI3261092020000005,2020-07-22,,01,영업/정상,13,영업중,,,,,,,,경상남도 통영시 산양읍 신전리 173-4,"경상남도 통영시 산양읍 산양일주로 486, 가동",53086,통영바라봄펜션,2020-07-22 10:18,I,2020-07-24 0:23,,330154.7377,144728.0741,관광펜션업,,관리지역,3,,,,단독주택,3,1,,,,,,,,,,,,222.02,,,,,,,,,10000000,,,,222
854,관광펜션업,03_11_02_P,5530000,CDFI3261092020000009,2020-08-12,,01,영업/정상,13,영업중,,,,,,,,경기도 화성시 서신면 제부리 79-1 (제부리 79-5),"경기도 화성시 서신면 해안길178번길 8-11, 1동, (해안길178번길 8-9, 1동,2동)",18553,리멤버8펜션,2023-01-12 14:14,U,2023-01-14 2:40,,166251.697,406930.0922,관광펜션업,,,2,,,,,0,0,0,0,,,0,0,,0,0,,0,375.46,,0,,,,,,,0,,,,375
855,관광펜션업,03_11_02_P,4590000,CDFI3261092021000001,2021-07-23,,01,영업/정상,13,영업중,,,,,,,,충청남도 청양군 대치면 광대리 270-3,충청남도 청양군 대치면 칠갑호길 214,33344,콩매아,2021-07-23 17:25,I,2021-07-25 0:23,,,,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
856,관광펜션업,03_11_02_P,5180000,CDFI3261092021000001,2021-04-30,,01,영업/정상,13,영업중,,,,,,,,경상북도 영덕군 병곡면 백석리 473-6,경상북도 영덕군 병곡면 흰돌로 58,36403,블루베이펜션,2021-05-10 14:41,I,2021-07-13 0:22,,415857.8903,348116.6993,관광펜션업,,,1,기타,,MG새마을금고,숙박시설,1,0,0,0,Bluebay Pension,Tourist pension business,0,0,,0,0,,0,291.73,,0,,,,,,,1000000000,,,,292
857,관광펜션업,03_11_02_P,5050000,CDFI3261092021000003,2021-07-21,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 외동읍 신계리 740-7,경상북도 경주시 외동읍 토함산로 41-6,38210,리포소,2021-07-21 17:50,I,2021-07-23 0:22,,410168.5842,255469.8404,관광펜션업,,보전녹지지역,2,기타,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,138.74,,0,,,,,,,100000000,,,,139
858,관광펜션업,03_11_02_P,5430000,CDFI3261092021000003,2021-08-27,,01,영업/정상,13,영업중,,,,,,,,경상남도 남해군 남면 평산리 1004,경상남도 남해군 남면 남면로 1470,52434,팰리스1470,2021-08-27 9:50,I,2021-08-29 0:22,,278407.6094,139240.6682,관광펜션업,,,2,,,,숙박시설,2,0,0,0,,,0,0,,0,0,,0,198.74,,0,,,,,,,600000000,,,,199
859,관광펜션업,03_11_02_P,5000000,CDFI3261092018000001,2018-12-28,,01,영업/정상,13,영업중,,,,,,,,전라남도 진도군 의신면 금갑리 478,전라남도 진도군 의신면 진도대로 3146-3,58939,진도한옥펜션,2018-12-28 10:09,I,2021-08-20 0:22,,133458.3238,100243.4228,관광펜션업,,,1,,,,,1,,,,,,,,,,,,,547.56,,,,,,,,,100000000,,,,548
860,관광펜션업,03_11_02_P,5020000,CDFI3261092021000001,2021-09-01,,01,영업/정상,13,영업중,,,,,,,,경상북도 포항시 남구 호미곶면 구만리 3-3,경상북도 포항시 남구 호미곶면 구만길 222,37928,스타스케이프,2021-09-01 16:45,I,2021-09-03 0:22,,430235.0669,290211.47,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
861,관광펜션업,03_11_02_P,5020000,CDFI3261092021000002,2021-09-01,,01,영업/정상,13,영업중,,,,,,,,경상북도 포항시 남구 호미곶면 구만리 3,경상북도 포항시 남구 호미곶면 구만길 224,37928,(주)은호,2021-09-01 16:46,I,2021-09-03 0:22,,430240.211,290183.3136,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
862,관광펜션업,03_11_02_P,5050000,CDFI3261092022000007,2022-11-20,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 외동읍 신계리 921-2,경상북도 경주시 외동읍 신계길 69-9,38210,어나더원,2022-11-20 13:15,I,2022-11-22 0:22,,409546.1661,254615.4558,관광펜션업,,,0,,,,단독주택,0,0,0,0,,,0,0,,0,0,,0,217.2,,0,,,,,,,0,,,,217
863,관광펜션업,03_11_02_P,4950000,CDFI3261092023000001,2023-01-13,,01,영업/정상,13,영업중,,,,,,,,전라남도 무안군 청계면 구로리 669,"전라남도 무안군 청계면 해안로 313-56, 2동",58541,쓰리에스(유),2023-01-13 10:09,I,2023-01-15 0:41,,144713.5292,157963.1759,관광펜션업,,관리지역,1,기타,,,숙박시설,1,0,0,0,,,0,0,,0,0,,0,57.07,,0,,,,,,,10000000,,,,57
864,관광펜션업,03_11_02_P,4920000,CDFI3261092023000001,2023-01-16,,01,영업/정상,13,영업중,,,,,,,,전라남도 강진군 성전면 월남리 725-1,전라남도 강진군 성전면 백운로 93-9,59200,자연이좋은사람들,2023-01-16 16:51,I,2023-01-18 0:40,,173205.7211,138028.9506,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
865,관광펜션업,03_11_02_P,5180000,CDFI3261092023000001,2023-01-16,,01,영업/정상,13,영업중,,,,,,,,경상북도 영덕군 강구면 하저리 10-2,경상북도 영덕군 강구면 영덕대게로 563,36453,일화수펜션,2023-01-16 13:02,I,2023-01-18 0:40,,416485.0613,323955.1455,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
866,관광펜션업,03_11_02_P,5430000,CDFI3261092022000005,2022-12-21,,01,영업/정상,13,영업중,,,,,,,,경상남도 남해군 남면 홍현리 366-1,경상남도 남해군 남면 남면로 240-35,52436,미류,2022-12-21 15:03,I,2022-12-23 0:40,,282626.4229,139599.5311,관광펜션업,,,2,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
867,관광펜션업,03_11_02_P,4530000,CDFI3261092023000001,2023-01-18,,01,영업/정상,13,영업중,,,,,,,,충청남도 서산시 음암면 탑곡리 864-19,충청남도 서산시 음암면 탑곡고양동1길 38-33,31937,하얀그림정원 풀빌라,2023-01-20 13:20,I,2023-01-21 0:40,,158812.855,365916.0391,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
868,관광펜션업,03_11_02_P,4980000,CDFI3261092022000001,2022-12-13,,01,영업/정상,13,영업중,,,,,061-392-2300,,,전라남도 장성군 북하면 쌍웅리 237-16,전라남도 장성군 북하면 백양로 611-14,57204,백양휴블리제풀빌라,2022-12-13 10:44,I,2022-12-15 0:40,,186456.5541,212646.26,관광펜션업,,주거지역,2,주택가주변,,,숙박시설,0,0,0,0,,,0,0,,0,0,,0,1464.88,,0,,,,,,,500000000,,,,1465
869,관광펜션업,03_11_02_P,4160000,CDFI3261092022000003,2022-12-13,,01,영업/정상,13,영업중,,,,,,,,경기도 가평군 조종면 상판리 120-5,경기도 가평군 조종면 명지산로 463,12431,계곡에풍덩펜션캠핑장,2022-12-13 15:45,I,2022-12-15 0:40,,233522.8142,489808.6713,관광펜션업,,관리지역,0,기타,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
870,관광펜션업,03_11_02_P,3570000,CDFI3261092022000002,2022-12-29,,01,영업/정상,13,영업중,,,,,,,,인천광역시 강화군 화도면 장화리 285-8 고벵이펜션,"인천광역시 강화군 화도면 해안남로 2506-16, 고벵이펜션",23061,인천 강화 고벵이 오션뷰 온수수영장 애견동반 풀빌라 펜션,2022-12-29 9:03,I,2022-12-31 0:40,,145209.7554,458499.5856,관광펜션업,,관리지역,3,,,,기타,3,0,0,0,,,0,0,,0,0,,0,182.93,,0,,,,,,,0,,,,183
871,관광펜션업,03_11_02_P,5340000,CDFI3261092022000002,2022-12-22,,01,영업/정상,13,영업중,,,,,,,,경상남도 사천시 서포면 비토리 264-5,경상남도 사천시 서포면 토끼로 245-45,52545,해피비해피,2023-11-13 17:18,U,2023-11-15 2:40,,288173.5046,166052.5847,관광펜션업,,,2,,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,1315,,0,,,,,,,0,,,,1315
872,관광펜션업,03_11_02_P,5050000,CDFI3261092022000003,2022-11-16,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 양남면 하서리 317,"경상북도 경주시 양남면 후동길 11-22, 가동",38219,마리벨317 B,2022-11-16 9:17,I,2022-11-18 0:22,,422845.8549,245304.4626,관광펜션업,,,0,,,,,2,1,0,0,,,0,0,,0,0,,0,191.85,,0,,,,,,,0,,,,192
873,관광펜션업,03_11_02_P,5050000,CDFI3261092022000004,2022-11-16,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 양남면 하서리 317,"경상북도 경주시 양남면 후동길 11-22, 나동",38219,마리벨317 A,2022-11-16 9:18,I,2022-11-18 0:22,,422845.8549,245304.4626,관광펜션업,,전용주거지역,0,,,,,2,1,0,0,,,0,0,,0,0,,0,189.85,,0,,,,,,,0,,,,190
874,관광펜션업,03_11_02_P,5050000,CDFI3261092022000005,2022-11-16,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 양남면 하서리 317-2,경상북도 경주시 양남면 후동길 11-20,38219,마리벨317 C동,2022-11-16 9:18,I,2022-11-18 0:22,,422871.4377,245312.2839,관광펜션업,,자연녹지지역,0,,,,전문하숙집,2,0,0,0,,,0,0,,0,0,,0,152.06,,0,,,,,,,0,,,,152
875,관광펜션업,03_11_02_P,5050000,CDFI3261092022000006,2022-11-16,,01,영업/정상,13,영업중,,,,,,,,경상북도 경주시 외동읍 신계리 536,경상북도 경주시 외동읍 신계상신길 67,38210,리스테이 연월,2022-11-16 9:19,I,2022-11-18 0:22,,410817.9509,254833.4143,관광펜션업,,,0,,,,단독주택,1,0,0,0,,,0,0,,0,0,,0,74.11,,0,,,,,,,0,,,,74
876,관광펜션업,03_11_02_P,4070000,CDFI3261092022000001,2022-12-06,,01,영업/정상,13,영업중,,,,,,,,경기도 이천시 모가면 양평리 215-5,경기도 이천시 모가면 군들로82번길 39,17408,십일월오일,2023-11-17 14:55,U,2023-11-19 2:40,,243910.7354,407778.5982,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,30000000,,,,0
877,관광펜션업,03_11_02_P,4160000,CDFI3261092023000001,2023-01-15,,01,영업/정상,13,영업중,,,,,,,,경기도 가평군 설악면 이천리 230-1,경기도 가평군 설악면 다락재로 219-2,12468,까사스위스2,2023-01-15 17:28,I,2023-01-17 0:40,,239810.042,462702.7194,관광펜션업,,관리지역,0,기타,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
878,관광펜션업,03_11_02_P,3720000,CDFI3261092023000001,2023-01-11,,01,영업/정상,13,영업중,,,,,,,,울산광역시 북구 구유동 167,울산광역시 북구 구유길 30 (구유동),44233,구유스테이,2023-05-17 10:40,U,2023-05-19 2:40,,422572.1092,237046.5996,관광펜션업,,일반주거지역,2,기타,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,100000000,,,,0
879,관광펜션업,03_11_02_P,5260000,CDFI3261092022000001,2022-12-30,,01,영업/정상,13,영업중,,,,,,,,경상북도 울릉군 울릉읍 사동리 879-7,경상북도 울릉군 울릉읍 간령길 119,40232,아라펜션,2023-04-04 16:53,U,2023-04-06 2:40,,542358.3512,447315.6087,관광펜션업,,,3,,,,,0,0,0,0,,,0,0,,0,0,,0,120.5,,0,,,,,,,0,,,,121
880,관광펜션업,03_11_02_P,4850000,CDFI3261092021000001,2021-05-25,,01,영업/정상,13,영업중,,,,,,,,전라남도 담양군 월산면 오성리 산 119,전라남도 담양군 월산면 오성내동길 72-5,57311,구르미펜션,2021-05-25 18:14,I,2021-05-27 0:22,,196067.1603,207511.6593,관광펜션업,,관리지역,1,기타,,,숙박시설,1,0,,,,,,,,,,,,134.05,,,,,,,,,730000000,,,,134
881,관광펜션업,03_11_02_P,4540000,CDFI3261092021000001,2021-05-28,,01,영업/정상,13,영업중,,,,,,,,충청남도 논산시 벌곡면 양산리 298-1,충청남도 논산시 벌곡면 대둔로 974,33026,별빛마루 펜션,2021-11-16 13:22,U,2021-11-18 2:40,,224370.3457,302088.5658,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
882,관광펜션업,03_11_02_P,3580000,CDFI3261092021000001,2021-05-11,,01,영업/정상,13,영업중,,,,,032-832-2797,,,인천광역시 옹진군 자월면 승봉리 604 바다로가는길목민박,"인천광역시 옹진군 자월면 승봉로 109, 바다로가는길목민박",23127,바다로 가는 길목,2021-05-11 17:11,I,2021-05-13 0:22,,137751.4255,407433.3234,관광펜션업,,,2,,,,,,,,,,,,,,,,,,461.08,,,,,,,,,,,,,461
883,관광펜션업,03_11_02_P,5330000,CDFI3261092021000002,2021-06-03,,01,영업/정상,13,영업중,,,,,,,,경상남도 통영시 산양읍 연화리 41,경상남도 통영시 산양읍 산양일주로 1262-15,53087,웨스트사이드,2021-06-03 16:11,I,2021-06-05 0:23,,328213.6469,143221.223,관광펜션업,,관리지역,2,,,,단독주택,2,1,,,,,,,,,,,,219,,,,,,,,,1500000000,,,,219
884,관광펜션업,03_11_02_P,4950000,CDFI3261092021000001,2021-04-26,,01,영업/정상,13,영업중,,,,,061-453-3645,,,전라남도 무안군 해제면 창매리 858-1,전라남도 무안군 해제면 참새골길 58-19,58508,무안한옥리조트,2021-07-22 11:17,U,2021-07-24 2:40,,135002.6806,173877.3092,관광펜션업,,관리지역,1,기타,,,숙박시설,0,0,0,0,,,0,0,,0,0,,0,1045.28,,0,,,,,,,0,,,,1045
885,관광펜션업,03_11_02_P,4880000,CDFI3261092021000001,2021-05-04,,01,영업/정상,13,영업중,,,,,,,,전라남도 고흥군 금산면 신촌리 1246,전라남도 고흥군 금산면 배천길 36,59564,거금아일랜드펜션,2021-06-23 17:04,U,2021-06-25 2:40,,209011.2556,107413.5335,관광펜션업,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,2000000000,,,,
886,관광펜션업,03_11_02_P,5430000,CDFI3261092021000002,2021-07-02,,01,영업/정상,13,영업중,,,,,,,,경상남도 남해군 창선면 부윤리 71-11,경상남도 남해군 창선면 흥선로 1857-33,52455,비마이아일랜드,2021-07-02 15:51,I,2021-07-04 0:22,,294706.6982,149757.4532,관광펜션업,,관리지역,2,,,,숙박시설,2,0,,,,,,,,,,,,363.72,,,,,,,,,,,,,364
887,관광펜션업,03_11_02_P,5370000,CDFI3261092021000001,2021-06-01,,01,영업/정상,13,영업중,,,,,,,,경상남도 거제시 하청면 석포리 348,경상남도 거제시 하청면 석포2길 63,53205,덕이네,2021-06-01 16:55,I,2021-06-03 0:23,,345552.1147,162298.9685,관광펜션업,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
888,관광펜션업,03_11_02_P,5450000,CDFI3261092014000002,2014-11-10,,01,영업/정상,13,영업중,,,,,055)974-0344,,666-963,경상남도 산청군 신안면 외송리 1052,경상남도 산청군 신안면 산청대로1212번길 112-5,52262,참조은펜션,2022-09-26 11:18,U,2022-09-28 2:40,,284118.532,208344.0052,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,50000000,,,,0
889,관광펜션업,03_11_02_P,5360000,CDFI3261092004000001,2004-08-02,,01,영업/정상,13,영업중,,,,,055-352-4300,,627-822,경상남도 밀양시 단장면 고례리 1549-4번지,경상남도 밀양시 단장면 고례2길 41,50418,"물안개 피는 마을,들꽃향기",2019-01-28 15:16,U,2019-01-30 2:40,,375189.4887,222759.7672,관광펜션업,관광사업,,,,,,숙박시설,2,,,,,,,,,,,,,542.97,,,,,,,,,,,,,543
890,관광펜션업,03_11_02_P,5360000,CDFI3261092007000001,2007-09-11,,01,영업/정상,13,영업중,,,,,055-351-0082,,627-822,경상남도 밀양시 단장면 범도리 850번지,경상남도 밀양시 단장면 표충로 826-14,50418,밀양관광펜션 아름드리,2011-12-20 10:42,I,2018-08-31 23:59,,372762.2148,226361.2455,관광펜션업,관광사업,관리지역,2,기타,,,근린생활시설,2,,,,,,,,,,,,,,,,,,,,,,,,,,
891,관광펜션업,03_11_02_P,5420000,CDFI3261092017000001,2017-01-20,,01,영업/정상,13,영업중,,,,,,,,경상남도 고성군 삼산면 장치리 586-1,경상남도 고성군 삼산면 자란만로 2128,52954,수성그린비,2020-10-05 14:51,U,2020-10-07 2:40,,312826.6446,161089.5575,관광펜션업,,,2,기타,,,숙박시설,2,,,,,,,,,,,,,246,,,,,,,,,,,,,246
892,관광펜션업,03_11_02_P,5370000,CDFI3261092005000001,2005-10-27,,01,영업/정상,13,영업중,,,,,055-681-6867,,656-891,경상남도 거제시 일운면 와현리 611번지,경상남도 거제시 일운면 거제대로 2210,,풍차언덕관광펜션,2011-02-18 13:24,I,2018-08-31 23:59,,355839.0655,147347.7965,관광펜션업,관광사업,,2,,,,다가구용 주택(공동주택적용),2,,,,,,,,,,,,,337.35,,,,,,,,,,,,,337
893,관광펜션업,03_11_02_P,5370000,CDFI3261092005000002,2005-12-30,,01,영업/정상,13,영업중,,,,,055-681-0521,,656-891,경상남도 거제시 일운면 구조라리 781-2번지,경상남도 거제시 일운면 윤돌길 13,,윤들펜션,2005-12-30 13:50,I,2018-08-31 23:59,,353516.0762,147476.1613,관광펜션업,관광사업,,2,,,,단독주택,2,,,,,,,,,,,,,268.32,,,,,,,,,,,,,268
894,관광펜션업,03_11_02_P,5370000,CDFI3261092006000002,2006-08-07,,01,영업/정상,13,영업중,,,,,,,656-891,경상남도 거제시 일운면 구조라리 420-2,경상남도 거제시 일운면 구조라해변길 1,,바다그린(BADAGREEN),2021-02-22 19:53,U,2021-02-24 2:40,,354846.845,146697.6423,관광펜션업,관광사업,일반주거지역,3,기타,,,숙박시설,3,,,,,,,,,,,,,492.46,,,,,,,,,50000000,,,,492
895,관광펜션업,03_11_02_P,5430000,CDFI3261092007000001,2007-03-08,,01,영업/정상,13,영업중,,,,,867-2253,,668-833,경상남도 남해군 미조면 송정리 304-4번지,경상남도 남해군 미조면 동부대로 273-73,52441,프랑스리조트,2017-09-05 18:41,I,2018-08-31 23:59,,294810.6335,138912.7833,관광펜션업,관광사업,,2,,,,숙박시설,2,,,,,,,,,,,,,1001.06,,,,,,,,,,,,,1001
896,관광펜션업,03_11_02_P,5430000,CDFI3261092008000001,2008-11-14,,01,영업/정상,13,영업중,,,,,055-863-2933,,,경상남도 남해군 서면 작장리 682-2번지 펜션남해스토리,"경상남도 남해군 서면 남서대로 1976-9, 펜션남해스토리",52409,펜션남해스토리,2019-03-11 15:25,U,2019-03-13 2:40,,275139.6291,148239.9865,관광펜션업,관광사업,관리지역,1,기타,,,단독주택,1,,,,PENSION NAMHAE STORY,TOURISM SERVICE FACILITIES BUSINESS,,,,,,,,228.75,,,,,,,,,50000000,,,,229
897,관광펜션업,03_11_02_P,5430000,CDFI3261092010000002,2010-03-19,,01,영업/정상,13,영업중,,,,,,,,경상남도 남해군 창선면 서대리 477-2,경상남도 남해군 창선면 서부로 949,52451,시아도펜션,2021-02-05 9:12,U,2021-02-07 2:40,,289946.4264,155024.4572,관광펜션업,,자연녹지지역,2,기타,,,숙박시설,2,,,,SIADO TOURIST PENSION,TOURISM SERVICE FACILITIES BUSINESS,,,,,,,,384,,,,,,,,,593750000,,,,384
898,관광펜션업,03_11_02_P,4090000,CDFI3261092018000001,2018-03-28,,01,영업/정상,13,영업중,,,,,031-985-4312,,,경기도 김포시 월곶면 성동리 169-1번지,경기도 김포시 월곶면 문수산로 174-25,10000,문수산 펜션,2018-03-28 14:06,I,2018-08-31 23:59,,158762.8875,471472.8616,관광펜션업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,관광펜션업,03_11_02_P,4291000,CDFI3261092024000001,2024-01-03,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 정선군 남면 무릉리 819-101,강원특별자치도 정선군 남면 지장천로 146-51,26147,드위트리 풀빌라펜션 & 카라반가든,2024-01-03 17:08,I,2024-01-05 0:16,,357991.5076,416299.2251,관광펜션업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
900,관광펜션업,03_11_02_P,4181000,CDFI3261092024000001,2024-01-03,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 춘천시 신동면 증리 414-2,강원특별자치도 춘천시 신동면 금병의숙길 33-39,24412,뭇별키즈풀빌라,2024-01-04 9:46,I,2024-01-06 0:16,,263218.7517,479498.4946,관광펜션업,,,1,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
901,관광펜션업,03_11_02_P,4500000,CDFI3261092018000002,2018-09-28,,01,영업/정상,13,영업중,,,,,,,,충청남도 공주시 사곡면 고당리 262-3,충청남도 공주시 사곡면 단평길 148-3,32523,공주소풍관광펜션,2023-03-08 13:18,U,2023-03-10 2:40,,202006.1865,335971.4533,관광펜션업,,,2,,,,,,,,,,,,,,,,,,199.23,,,,,,,,,,,,,199
902,관광펜션업,03_11_02_P,4500000,CDFI3261092018000003,2018-09-28,,01,영업/정상,13,영업중,,,,,,,,충청남도 공주시 사곡면 고당리 262-6번지,충청남도 공주시 사곡면 단평길 148-5,32523,공주알프스관광펜션,2018-09-28 17:05,U,2018-09-28 23:59,,202018.1617,335926.7373,관광펜션업,,,1,,,,,,,,,,,,,,,,,,150.66,,,,,,,,,,,,,151
903,관광펜션업,03_11_02_P,4940000,CDFI3261092018000001,2018-09-12,,01,영업/정상,13,영업중,,,,,,,,전라남도 영암군 영암읍 개신리 319-6번지,전라남도 영암군 영암읍 천황사로 333,58424,별이랑펜션,2018-09-12 13:10,U,2018-09-12 23:59,,174980.2538,141748.8886,관광펜션업,,관리지역,1,기타,,,숙박시설,,,,,,,,,,,,,,199,,,,,,,,,80000000,,,,199
